Shipment_ID,Order_Date,Region,City,Delivery_Partner,Shipping_Mode,Delivery_Time_Days,Order_Value,Delivery_Status,Customer_Rating
900023,26-11-2022,nan,Pune,Ecom Express,Express,4,150629.58,Delayed,3
900024,14-10-2023,East,Kolkata,Amazon Logistics,Standard,3,197262.8,Delivered,1
900025,30-06-2023,nan,Kolkata,XpressBees,Standard,1,72481.25,Delayed,3
900026,19-09-2023,West,Delhi,Amazon Logistics,Express,4,60228.38,Delayed,4
900027,10-08-2022,Central,Hyderabad,XpressBees,Express,6,112289.38,Delivered,1
900028,16-05-2023,East,Bengaluru,Ecom Express,Express,6,141367.18,Delayed,4
900029,15-02-2024,Central,Chennai,Ecom Express,Standard,8,1816.82,Delivered,
900030,06-02-2023,nan,Pune,Delhivery,Express,11,182523.28,Delivered,3
900031,21-09-2022,nan,Mumbai,nan,Standard,1,92347.61,Delivered,4
900032,06-01-2022,Central,Chennai,Delhivery,Standard,14,155807.39,Delayed,2
900033,20-06-2022,North,Kolkata,XpressBees,Express,4,98061.26,Delayed,
900034,27-04-2023,West,Delhi,BlueDart,Standard,,1150.81,Delivered,3
900035,09-09-2023,nan,Chennai,XpressBees,Express,,157470.78,Delayed,1
900036,14-07-2021,nan,Chennai,BlueDart,Standard,6,198938.76,Delayed,3
900037,20-06-2023,nan,Ahmedabad,BlueDart,Standard,8,71466.38,Cancelled,5
900038,02-06-2023,West,Hyderabad,Delhivery,Standard,5,68217.13,Delayed,4
900039,16-01-2023,East,Ahmedabad,BlueDart,Express,13,175877.9,Delayed,3
900040,20-07-2021,East,Kolkata,Amazon Logistics,Express,2,29158.18,Delivered,4
900041,05-10-2023,East,Kolkata,BlueDart,Standard,7,22152.16,Delivered,2
900042,07-08-2022,North,Mumbai,BlueDart,Express,6,164000.6,Delivered,4
900043,24-12-2021,East,Bengaluru,Amazon Logistics,Standard,7,43940.67,Delivered,1
900044,04-02-2022,West,Bengaluru,Ecom Express,Express,,29332.97,Delayed,2
900045,17-10-2021,North,Chennai,nan,Standard,,34613.94,Delayed,3
900046,07-09-2023,South,Chennai,XpressBees,Same-Day,6,101373.29,Delivered,3
900047,18-08-2022,South,nan,Delhivery,Express,11,5535.97,Delivered,5
900048,12-01-2024,South,Kolkata,XpressBees,Standard,6,63931.93,Delayed,2
900049,03-06-2023,West,Bengaluru,Delhivery,Express,9,156605.45,Delivered,2
900050,08-02-2023,nan,Pune,Ecom Express,Standard,3,129907.89,Delivered,4
900051,15-07-2021,nan,Pune,Ecom Express,Standard,12,161275.08,Delivered,
900052,10-02-2024,nan,Ahmedabad,BlueDart,Standard,2,36726.88,Delivered,
900053,05-04-2022,South,nan,Delhivery,Same-Day,7,15520.23,Delivered,3
900054,04-06-2023,East,Chennai,nan,Standard,11,11138.4,Delayed,4
900055,06-10-2022,nan,Chennai,BlueDart,Standard,13,92032.15,Delivered,4
900056,28-10-2021,West,Ahmedabad,Ecom Express,Express,8,30246.88,Delivered,4
900057,11-01-2023,East,Bengaluru,Amazon Logistics,Express,3,116904.28,Delivered,4
900058,09-09-2023,West,Delhi,Ecom Express,Express,13,73418.68,Delivered,3
900059,11-08-2022,Central,Mumbai,XpressBees,Standard,6,92793.68,Delivered,4
900060,29-07-2021,nan,Pune,nan,Standard,9,153325.1,Delivered,4
900061,26-12-2022,Central,Mumbai,Delhivery,Express,6,88281.28,Delayed,2
900062,23-07-2022,nan,Bengaluru,Ecom Express,Standard,7,33915.6,Delivered,4
900063,17-04-2023,Central,Hyderabad,Delhivery,Standard,8,78246.22,nan,4
900064,08-03-2022,East,Pune,Ecom Express,Standard,12,39429.49,nan,2
900065,21-03-2023,West,Pune,Amazon Logistics,Standard,2,82974.93,Delivered,2
900066,22-05-2023,South,Hyderabad,Amazon Logistics,Standard,,75064.93,Delivered,2
900067,20-06-2023,South,Mumbai,Amazon Logistics,Standard,9,59388.47,nan,3
900068,08-04-2022,South,Delhi,Ecom Express,Standard,14,43663.45,Delivered,2
900069,17-07-2022,North,Mumbai,Ecom Express,Standard,9,148714.82,Delivered,5
900070,15-04-2022,Central,Bengaluru,Delhivery,Same-Day,11,39223.53,Delivered,5
900071,27-07-2023,North,nan,Delhivery,Express,11,80025.04,Delivered,4
900072,15-04-2022,South,Ahmedabad,Amazon Logistics,Express,14,95196.59,Delivered,1
900073,15-08-2022,North,Hyderabad,Amazon Logistics,Standard,10,118119.68,Delivered,
900074,09-02-2022,West,nan,BlueDart,Standard,2,71817.41,Delivered,2
900075,26-03-2022,nan,Kolkata,Amazon Logistics,Standard,3,124482.89,Cancelled,2
900076,11-01-2022,South,Delhi,BlueDart,Standard,3,30959.58,Delivered,2
900077,06-07-2023,Central,nan,Delhivery,Express,6,178634.67,Delivered,1
900078,03-11-2023,nan,Hyderabad,BlueDart,Express,9,135636.38,Delivered,2
900079,05-07-2023,Central,Kolkata,BlueDart,Standard,1,186714.63,Delivered,3
900080,27-01-2024,South,Ahmedabad,XpressBees,Express,13,197168.1,Delivered,3
900081,26-08-2022,South,Ahmedabad,BlueDart,Express,12,129698.04,Delivered,1
900082,22-01-2023,South,Kolkata,Ecom Express,Express,13,148809.69,Delivered,2
900083,05-09-2023,nan,Hyderabad,Delhivery,Standard,,131027.66,Delayed,2
900084,16-07-2023,West,Delhi,BlueDart,Same-Day,12,16372.38,Delivered,2
900085,21-03-2023,East,Bengaluru,Ecom Express,Standard,11,116592.31,Delayed,3
900086,05-08-2021,East,nan,Amazon Logistics,Same-Day,8,157924.25,Delivered,1
900087,22-03-2023,South,Ahmedabad,nan,Standard,9,49399.04,Cancelled,3
900088,01-06-2022,nan,Chennai,Amazon Logistics,Express,1,118099.69,Delivered,4
900089,08-02-2022,West,Chennai,Amazon Logistics,Standard,3,128186.21,Delayed,2
900090,15-10-2022,Central,Mumbai,Amazon Logistics,Express,9,148893.21,Delivered,3
900091,11-10-2023,nan,Kolkata,Ecom Express,Express,8,63991.67,Delayed,1
900092,26-10-2021,South,Chennai,Amazon Logistics,Express,2,111576.31,Delivered,4
900093,20-12-2021,nan,Bengaluru,Ecom Express,Express,9,118194.24,Cancelled,4
900094,12-05-2022,nan,Hyderabad,Amazon Logistics,Standard,,36140.01,Delivered,5
900095,28-10-2022,nan,Bengaluru,nan,Same-Day,10,146862.89,Delayed,2
900096,05-10-2023,Central,Mumbai,Ecom Express,Standard,9,3875,Delayed,3
900097,04-04-2023,Central,Pune,Amazon Logistics,Same-Day,4,116512.88,Delivered,3
900098,17-08-2021,nan,Mumbai,XpressBees,Express,5,125281.52,Delivered,3
900099,11-11-2021,Central,Mumbai,Delhivery,Express,4,118085.89,Delivered,2
900100,21-12-2021,West,Kolkata,nan,Express,1,98316.83,Delivered,5
900101,26-09-2022,East,Bengaluru,XpressBees,Standard,4,115713.79,Delivered,4
900102,21-05-2023,North,Mumbai,Ecom Express,Same-Day,10,120420.6,Delivered,
900103,09-11-2021,South,nan,Amazon Logistics,Standard,3,116793.76,Delivered,3
900104,23-10-2023,East,Hyderabad,Ecom Express,Standard,,91079.67,Delayed,4
900105,15-10-2023,South,Hyderabad,XpressBees,Same-Day,14,109557.73,Delivered,4
900106,15-02-2023,South,Ahmedabad,Ecom Express,Express,,182140.24,Delivered,
900107,05-12-2021,nan,Ahmedabad,Amazon Logistics,Standard,6,153536.01,Delayed,
900108,22-06-2021,East,Kolkata,Amazon Logistics,Express,6,145204.77,Delivered,2
900109,04-12-2023,West,Chennai,BlueDart,Express,6,144255.09,Delayed,4
900110,04-06-2021,South,Hyderabad,nan,Express,7,143141.66,Delivered,2
900111,10-03-2023,nan,Mumbai,BlueDart,Same-Day,10,105051.1,Delivered,3
900112,04-03-2022,nan,Bengaluru,Amazon Logistics,Same-Day,5,49654.24,Delivered,4
900113,20-10-2021,Central,Pune,Delhivery,Standard,14,173677.1,Cancelled,4
900114,01-02-2023,East,Bengaluru,XpressBees,Standard,1,181231.4,Delivered,3
900115,23-10-2021,Central,Chennai,Amazon Logistics,Standard,13,187079.37,Delivered,4
900116,11-07-2021,South,Ahmedabad,Ecom Express,Standard,6,8067.63,Delivered,2
900117,30-09-2023,East,Kolkata,Delhivery,Same-Day,1,66784.5,Delivered,4
900118,30-08-2021,Central,Chennai,Delhivery,Express,14,48333.12,Delivered,2
900119,09-11-2022,nan,Delhi,BlueDart,Same-Day,10,39994.78,Delayed,1
900120,07-08-2023,South,Kolkata,Ecom Express,Standard,8,44624.67,Delivered,4
900121,14-11-2023,South,Pune,nan,Standard,1,191598.29,Delivered,3
900122,24-11-2021,North,Kolkata,BlueDart,Standard,5,19262.65,Delayed,3
900123,26-12-2023,South,Ahmedabad,Delhivery,Same-Day,1,108762.01,Delivered,1
900124,27-04-2022,nan,Pune,Delhivery,Standard,,141967.8,Delayed,5
900125,19-04-2023,nan,nan,XpressBees,Standard,9,100178.75,Cancelled,2
900126,01-10-2021,Central,Pune,XpressBees,Express,2,150434.54,Delivered,3
900127,24-06-2022,Central,Kolkata,Ecom Express,Standard,7,10297.52,Delivered,5
900128,24-01-2023,nan,Bengaluru,BlueDart,Standard,7,154906.82,Delayed,4
900129,25-09-2023,Central,Bengaluru,BlueDart,Standard,2,174964.18,Delivered,3
900130,13-10-2021,nan,nan,BlueDart,Standard,6,82290.85,Delayed,1
900131,01-11-2021,South,nan,BlueDart,Standard,3,182328.64,Delivered,1
900132,12-05-2023,North,Mumbai,XpressBees,Standard,6,18241.28,Delayed,4
900133,13-11-2021,Central,Ahmedabad,Ecom Express,Standard,9,39873.5,Delayed,3
900134,30-01-2022,nan,Hyderabad,Ecom Express,Standard,7,79674.42,Delivered,4
900135,28-08-2022,Central,Bengaluru,Amazon Logistics,Express,14,73247.7,Delivered,4
900136,08-08-2022,Central,Delhi,BlueDart,Express,10,38674.08,Delivered,5
900137,02-09-2021,nan,Ahmedabad,XpressBees,Express,11,24105.9,Delivered,4
900138,24-06-2021,East,Mumbai,BlueDart,Standard,12,41758.1,Delivered,2
900139,06-06-2021,West,nan,Delhivery,Same-Day,6,162427.72,Delivered,2
900140,02-08-2022,nan,Bengaluru,XpressBees,Express,14,9603.54,Delivered,2
900141,29-08-2021,South,Chennai,nan,Standard,4,184898.56,Delivered,2
900142,21-02-2024,South,Bengaluru,XpressBees,Express,7,192649.22,nan,3
900143,10-04-2023,nan,Bengaluru,Delhivery,Same-Day,3,25959.12,Delivered,5
900144,09-08-2022,North,Chennai,Ecom Express,Same-Day,11,135916.76,Delayed,1
900145,04-02-2024,South,Kolkata,Ecom Express,Same-Day,14,105930.08,Delivered,4
900146,14-11-2021,West,nan,BlueDart,Standard,4,141631.06,Delivered,4
900147,10-12-2022,West,Bengaluru,BlueDart,Express,13,12741.29,Delivered,3
900148,16-03-2022,North,Pune,Delhivery,Express,2,110111.85,Delivered,4
900149,27-01-2023,West,Mumbai,XpressBees,Standard,9,147125.28,Delivered,3
900150,09-04-2022,Central,Hyderabad,nan,Express,2,122540.51,Delayed,2
900151,06-09-2022,East,Chennai,BlueDart,Standard,2,34540.64,nan,4
900152,12-11-2022,West,nan,Delhivery,Express,6,5491.63,Delayed,4
900153,11-08-2021,Central,Delhi,Delhivery,Standard,11,184609.93,Cancelled,4
900154,13-11-2022,West,Bengaluru,XpressBees,Standard,7,98433.83,Delivered,1
900155,16-02-2024,West,nan,nan,Standard,6,137898.82,Delivered,3
900156,19-08-2023,nan,Hyderabad,Delhivery,Same-Day,13,20698.69,Delivered,2
900157,05-04-2023,North,Hyderabad,Delhivery,Standard,11,2330.39,Delivered,
900158,27-01-2022,North,Pune,nan,Express,8,132845.19,Delayed,4
900159,29-08-2021,nan,Delhi,Ecom Express,Same-Day,9,159299.71,Delivered,4
900160,04-03-2023,West,Kolkata,XpressBees,Express,2,38498.26,Delayed,4
900161,19-11-2021,West,Delhi,XpressBees,Same-Day,12,68328.49,Delayed,2
900162,11-06-2021,East,nan,Delhivery,Standard,3,104750.75,Cancelled,3
900163,30-06-2023,West,Ahmedabad,Ecom Express,Express,5,41730.96,Delayed,4
900164,28-01-2022,South,nan,Amazon Logistics,Express,13,172143.61,Delayed,3
900165,22-04-2023,West,Kolkata,Amazon Logistics,Standard,,39455.23,Delivered,3
900166,03-07-2022,nan,Mumbai,Amazon Logistics,Standard,7,15608.33,Delivered,4
900167,16-12-2022,North,Delhi,Amazon Logistics,Standard,4,84133.29,Delivered,2
900168,04-07-2023,South,Mumbai,Amazon Logistics,Standard,,3760.99,Delayed,1
900169,30-08-2023,North,Chennai,Amazon Logistics,Express,12,137242.87,Delivered,5
900170,08-05-2023,East,Bengaluru,Amazon Logistics,Standard,7,102008.25,Delivered,5
900171,01-08-2023,West,Bengaluru,nan,Standard,1,53054.21,Delivered,5
900172,08-03-2022,nan,Delhi,Delhivery,Standard,,114123.73,Cancelled,4
900173,07-07-2021,West,Pune,Ecom Express,Same-Day,1,62084.03,Delivered,4
900174,10-06-2023,South,Pune,XpressBees,Standard,3,196882.62,Cancelled,4
900175,06-11-2021,East,Bengaluru,Amazon Logistics,Standard,3,147152.82,Delayed,2
900176,21-07-2021,nan,Hyderabad,BlueDart,Standard,9,88930.19,Delivered,4
900177,27-11-2023,South,Delhi,Ecom Express,Express,,188482.45,Delivered,3
900178,28-02-2023,South,Chennai,Amazon Logistics,Standard,7,10264.53,Delivered,4
900179,31-01-2024,nan,nan,Ecom Express,Standard,3,123602.35,Delivered,1
900180,01-12-2022,East,Delhi,BlueDart,Express,4,17983.02,Cancelled,4
900181,11-10-2021,nan,Hyderabad,Ecom Express,Standard,10,168245.68,nan,2
900182,19-10-2023,Central,Kolkata,nan,Standard,1,37077.32,Delivered,3
900183,09-01-2023,nan,Ahmedabad,Delhivery,Standard,,118392.81,Cancelled,4
900184,26-06-2022,North,Mumbai,BlueDart,Standard,1,143390.74,Delivered,3
900185,01-04-2022,nan,Pune,BlueDart,Express,11,192793.5,Delivered,4
900186,28-12-2021,Central,Pune,Amazon Logistics,Express,7,139471.21,Delivered,4
900187,20-06-2021,Central,Hyderabad,BlueDart,Express,2,197825.26,Delivered,3
900188,21-09-2023,East,Ahmedabad,Amazon Logistics,Express,6,113787.95,Cancelled,3
900189,14-06-2022,West,Delhi,Delhivery,Standard,1,83306.85,Delayed,4
900190,12-02-2024,East,Delhi,nan,Express,12,152647.84,Delivered,2
900191,14-01-2024,North,Pune,XpressBees,Standard,4,10006.64,Delivered,5
900192,03-02-2023,nan,Pune,Ecom Express,Standard,13,172033.01,Delivered,5
900193,31-10-2023,South,Bengaluru,XpressBees,Standard,13,32974.26,Delayed,2
900194,20-06-2022,North,Kolkata,BlueDart,Standard,1,25418.63,Cancelled,
900195,25-06-2021,nan,Chennai,nan,Standard,,45107.98,Delayed,
900196,20-04-2023,East,Pune,nan,Express,1,39862.43,Delayed,3
900197,20-08-2022,East,Chennai,BlueDart,Same-Day,9,56134.13,Delivered,2
900198,07-03-2022,East,Chennai,Amazon Logistics,Same-Day,1,31870.6,nan,3
900199,09-09-2021,East,Hyderabad,XpressBees,Standard,9,167279.82,Delivered,3
900200,18-02-2024,Central,Delhi,BlueDart,Standard,7,63189.36,Delivered,4
900201,26-01-2024,North,nan,Ecom Express,Standard,4,109306.26,Delayed,4
900202,04-10-2022,Central,Chennai,BlueDart,Express,6,93111.32,Delayed,2
900203,16-10-2022,West,Pune,XpressBees,Standard,7,39994.62,Delivered,
900204,16-01-2022,East,Kolkata,Amazon Logistics,Express,6,93557.88,Delivered,4
900205,07-07-2021,Central,Ahmedabad,XpressBees,Standard,6,163039.32,Delivered,4
900206,30-03-2022,South,Pune,BlueDart,Standard,13,128978.02,Delivered,3
900207,23-07-2022,South,Pune,Amazon Logistics,Express,11,50141.47,Delivered,1
900208,22-12-2021,East,Hyderabad,XpressBees,Standard,7,14898.49,nan,1
900209,08-06-2023,South,Hyderabad,Delhivery,Same-Day,14,100590.81,Cancelled,2
900210,11-11-2023,South,nan,Delhivery,Standard,9,142082.68,nan,4
900211,08-12-2022,West,Mumbai,BlueDart,Express,1,53549.86,Delivered,1
900212,10-10-2023,nan,Mumbai,Ecom Express,Standard,4,158405.11,Delivered,3
900213,24-06-2021,nan,Delhi,Ecom Express,Same-Day,1,183468.53,Delivered,
900214,31-01-2022,East,Ahmedabad,Ecom Express,Standard,3,109547.02,Delivered,4
900215,14-08-2021,South,Pune,Amazon Logistics,Standard,2,37312.19,Delivered,4
900216,07-05-2022,West,Hyderabad,Amazon Logistics,Standard,6,2910.59,Delayed,2
900217,27-09-2023,East,nan,Ecom Express,Standard,2,34291.42,Delayed,4
900218,22-11-2023,East,Hyderabad,Ecom Express,Express,10,191196.86,Delivered,4
900219,09-09-2021,South,nan,Ecom Express,Express,,143512.67,Delivered,5
900220,06-02-2022,West,Pune,Ecom Express,Standard,1,174563.16,Delivered,2
900221,31-01-2023,North,Kolkata,Amazon Logistics,Express,11,39142.29,Cancelled,1
900222,01-09-2022,East,Hyderabad,BlueDart,Standard,2,21983.81,Delivered,3
900223,30-06-2021,nan,Hyderabad,Delhivery,Standard,3,142996.07,Delayed,4
900224,19-06-2022,nan,Mumbai,nan,Standard,2,113760.5,Delivered,2
900225,23-11-2022,South,Ahmedabad,Delhivery,Standard,12,177311.15,Delayed,2
900226,16-08-2022,Central,Delhi,BlueDart,Standard,12,147307.43,Delivered,4
900227,28-08-2023,North,Ahmedabad,BlueDart,Standard,8,90198.23,Delayed,4
900228,20-11-2021,Central,Kolkata,Ecom Express,Standard,5,140779.09,Delivered,3
900229,26-02-2023,North,Delhi,Ecom Express,Standard,10,67097,Delivered,3
900230,03-02-2024,East,Mumbai,nan,Same-Day,13,43650.22,Delivered,4
900231,01-01-2024,nan,Ahmedabad,Delhivery,Express,,130538.21,Delivered,5
900232,25-12-2023,South,Kolkata,Ecom Express,Standard,5,42176.5,Cancelled,3
900233,28-01-2024,nan,Hyderabad,nan,Standard,7,78191.91,nan,3
900234,11-01-2022,West,Bengaluru,BlueDart,Express,,26872.2,Cancelled,3
900235,12-02-2022,nan,Ahmedabad,BlueDart,Express,5,17922.37,Delayed,4
900236,07-01-2023,East,Ahmedabad,BlueDart,Standard,7,96578.03,Cancelled,4
900237,24-09-2021,nan,Bengaluru,nan,Express,4,66352.51,Delivered,5
900238,10-04-2023,South,Pune,Delhivery,Standard,1,130736.08,Delivered,4
900239,06-09-2023,nan,Kolkata,Ecom Express,Standard,9,142222.6,Delivered,2
900240,10-02-2024,North,Kolkata,Amazon Logistics,Standard,14,165889.36,Delayed,2
900241,03-06-2023,Central,nan,BlueDart,Standard,1,96927.29,Delivered,4
900242,01-10-2021,East,Mumbai,Delhivery,Standard,4,10565.66,Delivered,1
900243,07-09-2021,nan,Pune,XpressBees,Standard,7,32551.43,Cancelled,3
900244,27-03-2023,nan,Kolkata,XpressBees,Express,1,133735.4,Delayed,5
900245,17-07-2021,West,Delhi,BlueDart,Express,10,146171.78,Delivered,2
900246,09-02-2024,East,Pune,BlueDart,Express,3,129774.99,Delivered,4
900247,20-07-2021,East,Kolkata,BlueDart,Standard,14,49439.23,Delivered,3
900248,17-04-2022,South,Kolkata,Delhivery,Same-Day,11,34168.88,Delivered,1
900249,03-06-2023,North,Hyderabad,Amazon Logistics,Express,14,162423.61,Delayed,3
900250,23-05-2023,nan,Bengaluru,BlueDart,Standard,,172817.54,Delivered,2
900251,25-09-2021,South,Ahmedabad,Delhivery,Same-Day,11,136463.98,Delayed,1
900252,05-02-2024,Central,Delhi,nan,Standard,9,39184.93,Delivered,1
900253,27-08-2022,West,Hyderabad,Delhivery,Standard,,178056.56,Delayed,2
900254,17-07-2022,East,Kolkata,nan,Same-Day,8,71290.54,Delayed,4
900255,07-07-2021,nan,Delhi,nan,Express,13,66766.56,Delayed,5
900256,27-11-2022,Central,Ahmedabad,Ecom Express,Express,12,175377.51,Delayed,4
900257,10-09-2023,nan,Delhi,nan,Express,7,44033.36,Delivered,4
900258,13-02-2024,Central,Bengaluru,Ecom Express,Express,12,99647.88,Delivered,3
900259,07-02-2024,West,Pune,nan,Express,8,45212.44,Delayed,2
900260,09-12-2023,South,Mumbai,BlueDart,Standard,13,190880.9,Delivered,4
900261,23-10-2022,nan,Hyderabad,nan,Express,10,192484.53,Delivered,2
900262,25-10-2022,East,Pune,XpressBees,Express,6,142868.78,Delivered,1
900263,09-06-2023,nan,Bengaluru,Amazon Logistics,Express,1,106138.84,Delayed,4
900264,26-07-2022,nan,nan,nan,Standard,2,11715.43,Delivered,3
900265,16-01-2022,West,nan,Ecom Express,Standard,8,168652.55,Delayed,3
900266,18-07-2021,South,nan,BlueDart,Standard,7,63167.14,Delivered,4
900267,04-11-2022,Central,Kolkata,XpressBees,Same-Day,13,86387.25,Delivered,5
900268,19-07-2022,nan,Hyderabad,nan,Express,11,105572.71,Delivered,3
900269,18-02-2024,South,Delhi,Amazon Logistics,Standard,4,60029.78,Delivered,3
900270,06-11-2023,North,Mumbai,nan,Standard,11,16034.29,Delivered,4
900271,18-11-2021,South,Delhi,Amazon Logistics,Standard,1,175929.56,Delivered,3
900272,18-03-2022,East,Chennai,Ecom Express,Express,7,118140.02,Delayed,4
900273,12-06-2022,Central,Bengaluru,Delhivery,Standard,14,192803.11,Delivered,
900274,19-08-2022,nan,Delhi,nan,Express,14,147898.49,Delivered,4
900275,23-11-2022,nan,Bengaluru,XpressBees,Standard,5,192307.85,nan,
900276,12-09-2023,East,Hyderabad,XpressBees,Standard,8,31625.73,Delayed,4
900277,02-07-2022,nan,Hyderabad,Delhivery,Standard,4,2403.41,Delayed,3
900278,07-03-2022,West,Delhi,BlueDart,Express,,24992.17,Cancelled,2
900279,25-10-2021,East,Bengaluru,XpressBees,Express,4,114822.64,Delivered,4
900280,13-02-2024,North,Mumbai,XpressBees,Express,10,69650.02,Delivered,4
900281,28-01-2023,West,nan,XpressBees,Express,5,10539.34,Delivered,4
900282,17-09-2022,West,Hyderabad,Delhivery,Standard,7,69458.48,Delayed,5
900283,19-04-2022,Central,nan,nan,Express,2,35144.96,Cancelled,5
900284,23-02-2023,South,Bengaluru,Ecom Express,Standard,3,54964.41,Delivered,1
900285,23-03-2023,South,Bengaluru,Amazon Logistics,Standard,12,163821.91,nan,3
900286,03-11-2023,South,Chennai,Delhivery,Standard,12,157389.74,Delivered,5
900287,13-07-2021,nan,Chennai,Ecom Express,Standard,7,125796.86,Delivered,4
900288,14-12-2022,West,Bengaluru,BlueDart,Same-Day,2,134417.68,Delayed,3
900289,27-01-2023,North,Mumbai,BlueDart,Standard,11,80679.29,nan,5
900290,24-11-2023,nan,Hyderabad,nan,Same-Day,13,106802.24,Cancelled,2
900291,29-12-2023,North,Chennai,Amazon Logistics,Same-Day,14,16783.69,Delivered,3
900292,27-10-2022,North,Ahmedabad,Ecom Express,Standard,2,68719.76,Delivered,2
900293,17-02-2024,West,Chennai,Amazon Logistics,Standard,8,190504.76,Delivered,4
900294,17-02-2023,nan,nan,BlueDart,Standard,5,123239.98,Delivered,3
900295,06-02-2022,Central,Chennai,XpressBees,Same-Day,12,141052.54,Delivered,3
900296,22-11-2021,West,Bengaluru,BlueDart,Express,14,135172.14,Delayed,3
900297,15-02-2022,East,Kolkata,nan,Express,3,164697.58,Delivered,4
900298,25-07-2023,East,Delhi,Delhivery,Express,10,143356.2,Delivered,3
900299,09-06-2023,Central,Ahmedabad,Delhivery,Standard,3,115720.76,Delayed,3
900300,28-08-2022,nan,Kolkata,Ecom Express,Express,11,157302.71,Delivered,4
900301,12-03-2022,nan,Hyderabad,Amazon Logistics,Standard,7,70971.79,Delivered,3
900302,16-08-2021,North,Ahmedabad,Delhivery,Express,2,154023.75,Delivered,5
900303,29-06-2023,nan,Ahmedabad,Amazon Logistics,Standard,2,106213.49,nan,4
900304,26-05-2022,South,Pune,XpressBees,Same-Day,11,46664.53,Delivered,
900305,24-09-2023,North,Kolkata,Delhivery,Standard,5,126645.3,Delivered,4
900306,29-06-2021,West,Pune,Amazon Logistics,Same-Day,,127829.53,Delivered,3
900307,16-11-2022,nan,Pune,Ecom Express,Same-Day,13,39881.58,Delivered,4
900308,23-03-2022,North,Chennai,XpressBees,Same-Day,14,199662.44,Delayed,3
900309,25-09-2021,East,Ahmedabad,BlueDart,Express,11,96297.38,Cancelled,5
900310,18-07-2021,nan,Delhi,nan,Standard,9,162981.19,Delivered,3
900311,13-10-2021,nan,Chennai,BlueDart,Express,4,47138.47,Delivered,4
900312,29-01-2024,Central,Bengaluru,BlueDart,Standard,3,7265.88,Delivered,5
900313,07-08-2022,East,Bengaluru,nan,Same-Day,9,75499.52,Delivered,4
900314,27-03-2022,nan,Chennai,XpressBees,Standard,4,62254.79,Cancelled,1
900315,23-07-2021,West,Hyderabad,Delhivery,Standard,10,41959.1,Delivered,4
900316,14-09-2021,North,Pune,Delhivery,Express,9,167254.31,Delivered,3
900317,14-01-2023,nan,Chennai,BlueDart,Express,6,29964.8,Delivered,5
900318,21-09-2021,West,Pune,Amazon Logistics,Same-Day,2,112227.64,Delivered,4
900319,30-07-2023,nan,Hyderabad,Delhivery,Same-Day,1,191031.38,Delivered,4
900320,25-09-2021,East,nan,Ecom Express,Express,14,6773.28,Delivered,5
900321,16-06-2023,West,Mumbai,XpressBees,Standard,9,84540.02,Cancelled,2
900322,09-07-2023,West,Chennai,Delhivery,Standard,10,121223.43,Delayed,3
900323,23-04-2023,West,nan,Delhivery,Same-Day,10,110307.81,Delayed,5
900324,02-09-2023,West,Pune,XpressBees,Standard,6,62049.42,Cancelled,3
900325,23-02-2023,Central,Delhi,Amazon Logistics,Same-Day,6,140552.72,Delayed,
900326,16-01-2023,nan,Delhi,Delhivery,Same-Day,9,129118.71,Cancelled,4
